index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
3450,Crime Drama Music,1725,slum street gang love at first sight showdown puerto rican,en,West Side Story,23.431117,The screen achieves one of the great entertainments in the history of motion pictures,West Side Story,7,389,Natalie Wood Richard Beymer Russ Tamblyn Rita Moreno George Chakiris,Robert Wise
3451,Comedy,11977,golf underwear sport golf course gopher,en,Caddyshack,15.929648,The snobs against the slobs!,Caddyshack,6.6,365,Chevy Chase Rodney Dangerfield Ted Knight Michael O'Keefe Bill Murray,Harold Ramis
3454,Drama Crime Thriller,629,law relatives theft criminal criminal mastermind,en,The Usual Suspects,64.025031,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3254,Stephen Baldwin Gabriel Byrne Chazz Palminteri Kevin Pollak Pete Postlethwaite,Bryan Singer
3455,Horror Thriller,10160,nun baby monster asylum nightmare,en,A Nightmare on Elm Street 5: The Dream Child,12.654051,"Now Freddy’s a daddy, he’s killing for two.",A Nightmare on Elm Street 5: The Dream Child,5.5,245,Robert Englund Lisa Wilcox Erika Anderson Valorie Armstrong Michael Ashton,Stephen Hopkins
3456,Comedy Romance,11452,male nudity female nudity sex college locker room,en,National Lampoon’s Van Wilder,35.108498,Don't Graduate. Celebrate.,National Lampoon’s Van Wilder,5.9,858,Ryan Reynolds Tara Reid Tim Matheson Kal Penn Simon Helberg,Walt Becker
3457,Drama Romance,12163,supermarket heart attack ambition daughter wrestling,en,The Wrestler,40.196514,Love. Pain. Glory.,The Wrestler,7.3,1000,Mickey Rourke Marisa Tomei Evan Rachel Wood Mark Margolis Todd Barry,Darren Aronofsky
3458,Western,32275,half breed,en,Duel in the Sun,7.60445,Emotions . . . As Violent As The Wind-Swept Prairie !,Duel in the Sun,6.2,37,Jennifer Jones Joseph Cotten Gregory Peck Lionel Barrymore Herbert Marshall,King Vidor
3459,Comedy,13785,illinois pet shop poodle independent film mockumentary,en,Best in Show,10.982255,Some pets deserve a little more respect than others.,Best in Show,6.7,166,Jay Brazeau Parker Posey Michael Hitchcock Catherine O'Hara Eugene Levy,Christopher Guest
3460,Science Fiction Action,1103,taxi street gang usa president war veteran hostage,en,Escape from New York,24.351305,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.,Escape from New York,6.9,703,Kurt Russell Lee Van Cleef Ernest Borgnine Donald Pleasence Isaac Hayes,John Carpenter
3462,Comedy Family,14144,competition grandfather grandson relationship vomit summer camp toilet,en,Daddy Day Camp,12.601677,The summer is going to be in tents.,Daddy Day Camp,4.4,91,Cuba Gooding Jr. Tamala Jones Paul Rae Lochlyn Munro Richard Gant,Fred Savage
3463,Crime Action Comedy,10622,journalist martial arts cook drug dealer,cn,一個好人,7.077505,Fight first. Apologize later.,Mr. Nice Guy,6.3,128,Jackie Chan Richard Norton Miki Lee Gabrielle Fitzpatrick Karen McLymont,Sammo Hung
3464,Comedy Music,13370,mockumentary folk singer,en,A Mighty Wind,4.053017,"Back together for the first time, again.",A Mighty Wind,6.6,74,Bob Balaban Christopher Guest John Michael Higgins Eugene Levy Jane Lynch,Christopher Guest
3465,Comedy Drama Romance,11191,independent film commitment lobster portuguese american,en,Mystic Pizza,6.379933,A Romantic Comedy With The Works,Mystic Pizza,5.9,123,Annabeth Gish Julia Roberts Lili Taylor Vincent D'Onofrio William R. Moses,Donald Petrie
3466,Comedy Drama Fantasy Romance,10215,double life commercial fantasy chance marketing,en,Sliding Doors,15.639016,What if one split second sent your life in two completely different directions?.,Sliding Doors,6.5,354,Gwyneth Paltrow John Hannah John Lynch Jeanne Tripplehorn Zara Turner,Peter Howitt
3467,Crime Horror Thriller,25066,prison child abuse ku klux klan police brutality ghetto,en,Tales from the Hood,3.89204,Chill or be Chilled,Tales from the Hood,5.4,32,Clarence Williams III Corbin Bernsen David Alan Grier Wings Hauser Duane Whitaker,Rusty Cundieff
3468,Drama,1523,dictator 1970s general kidnapping naivety,en,The Last King of Scotland,26.286954,Charming. Magnetic. Murderous.,The Last King of Scotland,7.4,558,Forest Whitaker James McAvoy Simon McBurney Gillian Anderson Kerry Washington,Kevin Macdonald
3469,Horror Thriller,11361,sheriff barn black sequel boogeyman,en,Halloween 5: The Revenge of Michael Myers,8.008844,"Michael Lives, And This Time They're Ready!",Halloween 5: The Revenge of Michael Myers,5.2,183,Donald Pleasence Danielle Harris Ellie Cornell Beau Starr Don Shanks,Dominique Othenin-Girard
3470,Comedy Crime Drama,92591,prison visit funeral director funeral home amateur theater embezzlement,en,Bernie,12.68514,A story so unbelievable it must be true.,Bernie,6.5,320,Jack Black Shirley MacLaine Matthew McConaughey Brady Coleman Tommy G. Kendrick,Richard Linklater
3472,Drama Romance,12509,artist success relationship problems alcoholism independent film,en,Pollock,8.483531,A true portrait of life and art.,Pollock,6.6,91,Ed Harris Marcia Gay Harden Tom Bower Jennifer Connelly Bud Cort,Ed Harris
3473,Comedy Drama Romance,15256,new year's eve independent film relationship woman director lower east side,en,200 Cigarettes,3.561198,It's 11:59 on New Years Eve... do you know where your date is?,200 Cigarettes,6.1,44,Ben Affleck Casey Affleck Dave Chappelle Kate Hudson Janeane Garofalo,Risa Bramon Garcia
3474,Drama Thriller,83686,plagiarized book stolen novel plagiarized novel aspiring writer,en,The Words,14.988746,There's more than one way to take a life.,The Words,6.4,379,Bradley Cooper Zoe Saldana Jeremy Irons Dennis Quaid Olivia Wilde,Brian Klugman
3475,Comedy Western,80304,mexico organized crime drug lord padre aftercreditsstinger,en,Casa De Mi Padre,5.754416,Funniest movie you'll ever read.,Casa De Mi Padre,5.5,103,Will Ferrell Gael Garc\u00eda Bernal G\u00e9nesis Rodr\u00edguez Diego Luna Efren Ramirez,Matt Piedmont
3476,Drama Comedy,28053,secret fetishism stripper family secrets convict,en,City Island,6.497285,Truth is stranger than family,City Island,6.9,113,Andy Garc\u00eda Julianna Margulies Steven Strait Dominik Garc\u00eda-Lorido Ezra Miller,Raymond De Felitta
3477,Action Comedy Thriller Crime,67913,prostitute blackmail drug smuggle rural ireland dry humour,en,The Guard,19.411141,The FBI are about to discover that things work a little differently around here.,The Guard,6.8,372,Brendan Gleeson Don Cheadle Liam Cunningham Mark Strong Katarina Cas,John Michael McDonagh
3479,Drama Romance,1443,michigan 1970s youth family woman director,en,The Virgin Suicides,26.218912,"Beautiful, mysterious, haunting, invariably fatal. Just like life.",The Virgin Suicides,7.1,817,James Woods Kathleen Turner Kirsten Dunst Josh Hartnett Michael Par\u00e9,Sofia Coppola
3480,Comedy Drama,8545,parents kids relationship voice loneliness independent film singer,en,Little Voice,4.647547,Finding your own voice can be magic.,Little Voice,6.6,61,Brenda Blethyn Michael Caine Ewan McGregor Jane Horrocks Jim Broadbent,Mark Herman
3481,Comedy Romance,19556,sex first time virgin road trip playboy,en,Miss March,9.371534,"After four years in a coma, Eugene Pratt is going to be reunited with his high school sweetheart... on pages 95-97.",Miss March,5.4,77,Zach Cregger Trevor Moore Raquel Alessi Craig Robinson Molly Stanton,Zach Cregger
3482,Drama Comedy,231576,jew independent film homeschooling family struggling actor,en,Wish I Was Here,15.015271,Life is an occasion. Rise to it.,Wish I Was Here,6.4,300,Zach Braff Kate Hudson Joey King Pierce Gagnon Donald Faison,Zach Braff
3483,Comedy,16172,restaurant department store kitchen love crab,en,Simply Irresistible,5.696491,Magic opened up their hearts... Love did the rest.,Simply Irresistible,5.5,52,Sarah Michelle Gellar Sean Patrick Flanery Dylan Baker Patricia Clarkson Lawrence Gilliard Jr.,Mark Tarlov
3484,Comedy Music,13403,transvestism gay sex singer transgender,en,Hedwig and the Angry Inch,4.25422,An anatomically incorrect rock odyssey,Hedwig and the Angry Inch,7.4,80,John Cameron Mitchell Miriam Shor Stephen Trask Theodore Liscinski Rob Campbell,John Cameron Mitchell
3490,Adventure Western,576,underdog robbery bounty hunter texas mexican revolution,en,The Wild Bunch,14.970654,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH.",The Wild Bunch,7.6,259,William Holden Ernest Borgnine Robert Ryan Edmond O'Brien Warren Oates,Sam Peckinpah
3492,Thriller Adventure Drama Crime,11583,public hanging strongbox gold theft british history historic figure,en,The First Great Train Robbery,12.434688,Never have so few taken so much from so many.,The First Great Train Robbery,6.6,74,Sean Connery Donald Sutherland Lesley-Anne Down Alan Webb Malcolm Terris,Michael Crichton
3495,Drama,59728,american football loss of brother funeral sport prayer,en,The 5th Quarter,0.215464,Rising from tragedy to triumph,The 5th Quarter,4.7,12,Aidan Quinn Andie MacDowell Ryan Merriman Michael Harding Stacy Earl,Rick Bieber
3499,Drama Romance,7547,bar motel one-night stand beer blonde,en,Come Early Morning,3.427061,"Before you fall in love, you need to love yourself.",Come Early Morning,5.9,10,Ashley Judd Laura Prepon Jeffrey Donovan Stacy Keach Scott Wilson,Joey Lauren Adams
3501,Drama,42222,friends playwright,en,Julia,6.077735,The story of two women whose friendship suddenly became a matter of life and death.,Julia,6.3,30,Jane Fonda Vanessa Redgrave Jason Robards Maximilian Schell Hal Holbrook,Fred Zinnemann
3504,Crime Drama Thriller,9282,alcohol sex robbery secret gun,en,11:14,15.048067,Fate can change in seconds.,11:14,6.8,206,Henry Thomas Blake Heron Barbara Hershey Hilary Swank Clark Gregg,Greg Marcks
3505,Action Thriller,38940,asia island mercenary independent film jungle,en,Men of War,1.734764,"Killers for hire are paid for what they can do, not for what they believe... until today.",Men of War,5.4,29,Dolph Lundgren Charlotte Lewis BD Wong Tim Guinee Catherine Bell,Perry Lang
3506,Crime Mystery Thriller,35689,independent film,en,Don McKay,1.496454,Some secrets are better left buried.,Don McKay,5.4,21,Thomas Haden Church Elisabeth Shue Melissa Leo M. Emmet Walsh Keith David,Jake Goldberger
3507,Crime Drama Thriller,97614,partner murder on the run fugitive crime,en,Deadfall,10.19041,Twisty thriller... a wild ride.,Deadfall,5.6,224,Eric Bana Olivia Wilde Charlie Hunnam Patrick Kerton Kris Kristofferson,Stefan Ruzowitzky
3508,Drama Family,37206,orphan rainbow,en,A Shine of Rainbows,12.099486,An abandoned child brings the colors of love into their lives.,A Shine of Rainbows,6.3,14,Connie Nielsen Aidan Quinn John Bell Tara Alice Scully Niamh Shaw,Vic Sarin
3511,Horror Mystery Science Fiction,837,suicide tv show hallucination tv station radio presenter,en,Videodrome,18.119265,First it controls your mind. Then it destroys your body.,Videodrome,7.1,454,James Woods Sonja Smits Deborah Harry Peter Dvorsky Jack Creley,David Cronenberg
3512,Drama Comedy Romance,1555,paris barcelona spain alcohol roommate single,fr,L'Auberge espagnole,13.034602,"They came from Paris, Rome, London and Berlin to... the Spanish Apartment... where a year can change a lifetime.",The Spanish Apartment,7,266,Romain Duris Audrey Tautou Kelly Reilly C\u00e9cile de France Cristina Brondo,C\u00e9dric Klapisch
3513,Drama,244783,woman director,en,Song One,6.349218,A moment can change everything.,Song One,5.5,87,Anne Hathaway Johnny Flynn Mary Steenburgen Ben Rosenfield Lola Kirke,Kate Barker-Froyland
3514,Drama History War,16564,netherlands world war ii,nl,Oorlogswinter,5.013575,"In 1945 Holland, a boy must choose between good and evil.",Winter in Wartime,6.8,66,Martijn Lakemeier Melody Klaver Yorick van Wageningen Jamie Campbell Bower Raymond Thiry,Martin Koolhoven
3515,Comedy,168027,bomb squad ex-fugitive freaky,en,Freaky Deaky,4.448353,Crime is such a trippy thing,Freaky Deaky,4.9,18,Christian Slater Michael Jai White Crispin Glover Billy Burke Breanne Racano,Charles Matthau
3516,Action Drama Thriller War,3482,paris france world war ii nazis hijacking of train,en,The Train,4.49029,"It carried their hopes, their nation's honour!",The Train,7.2,72,Burt Lancaster Paul Scofield Jeanne Moreau Suzanne Flon Michel Simon,John Frankenheimer
3518,Action Crime Drama Thriller,8982,buddhism elephant sydney australia fighter,th,ต้มยำกุ้ง,11.81832,Vengeance Knows No Mercy,The Protector,6.8,167,Tony Jaa Petchtai Wongkamlao Bongkoj Khongmalai Xing Jing Nathan Jones,Prachya Pinkaew
3520,Comedy Drama Romance,455,london england tradition indian lead culture clash immigration,en,Bend It Like Beckham,22.054546,"Sometimes, to follow your dreams... you've got to bend the rules!",Bend It Like Beckham,6.2,578,Parminder Nagra Keira Knightley Jonathan Rhys Meyers Anupam Kher Shaheen Khan,Gurinder Chadha
3521,Drama,57022,independent film,en,Sunshine State,4.245123,Greetings from ...,Sunshine State,6,10,Alan King Angela Bassett Timothy Hutton Mary Steenburgen Clifton James,John Sayles
3524,Thriller Horror,10664,religion and supernatural blood sample occult swat team gas mask,es,[REC]²,22.341462,Fear Revisited,[REC]²,6.4,489,Manuela Velasco Ferran Terraza Claudia Silva Javier Botet Pablo Rosso,Jaume Balaguer\u00f3
3526,Comedy Crime Drama,9277,chicago bet horse race repayment con man,en,The Sting,28.500913,...all it takes is a little confidence.,The Sting,7.9,622,Paul Newman Robert Redford Robert Shaw Charles Durning Ray Walston,George Roy Hill
3527,Drama History,9443,underdog scotland jewry patriotism olympic games,en,Chariots of Fire,10.439971,"This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor.",Chariots of Fire,6.8,207,Ben Cross Ian Charleson Cheryl Campbell Alice Krige Nigel Havers,Hugh Hudson
3529,Drama,7863,letter jumping child prodigy pool pianist,en,Shine,10.396305,A true story of the mystery of music and the miracle of love,Shine,7.3,131,Geoffrey Rush Noah Taylor Armin Mueller-Stahl Justin Braine Sonia Todd,Scott Hicks
3530,Romance Comedy Drama,138697,pornography sex sex addiction male female relationship internet porn,en,Don Jon,33.296684,Everyone loves a happy ending.,Don Jon,5.9,1671,Joseph Gordon-Levitt Scarlett Johansson Julianne Moore Tony Danza Glenne Headly,Joseph Gordon-Levitt
3531,Western,11901,gunslinger desperation outlaw,en,High Plains Drifter,19.127239,Welcome to Hell,High Plains Drifter,7.4,278,Clint Eastwood Verna Bloom Marianna Hill Mitchell Ryan Jack Ging,Clint Eastwood
3532,Comedy Drama,1548,high school friends art class record collector plaster personal ad,en,Ghost World,14.072941,Accentuate the negative.,Ghost World,7.1,426,Thora Birch Scarlett Johansson Steve Buscemi Brad Renfro Bob Balaban,Terry Zwigoff
3534,Comedy Science Fiction,33155,android harley davidson cryogenics space travel love,en,Galaxina,2.141143,She's too good to be true...and too real to be otherwise.,Galaxina,3.3,16,Dorothy Stratten Stephen Macht Avery Schreiber Lionel Mark Smith J.D. Hinton,William Sachs
3537,Crime Drama Mystery Thriller,4997,robbery junkie investigation porno star murder,en,Wonderland,7.79068,"Sex, drugs, murder. Welcome to L.A.",Wonderland,6.2,73,Val Kilmer Dylan McDermott Kate Bosworth Josh Lucas Lisa Kudrow,James Cox
3538,Drama,925,black people italo-american police brutality sun glasses culture clash,en,Do the Right Thing,15.580335,"It's the hottest day of the summer. You can do nothing, you can do something, or you can...",Do the Right Thing,7.6,292,Danny Aiello Ossie Davis Ruby Dee Richard Edson Giancarlo Esposito,Spike Lee
3539,Drama,27451,gambling sex college basketball mafia,en,Harvard Man,5.336243,"Passion, Seduction, Deception.",Harvard Man,4.8,15,Sarah Michelle Gellar Adrian Grenier Joey Lauren Adams Eric Stoltz Rebecca Gayheart,James Toback
3541,Drama Thriller Crime Mystery,979,paris prostitute rape sex nudity,fr,Irréversible,32.476098,Time destroys everything.,Irreversible,7.1,538,Monica Bellucci Vincent Cassel Albert Dupontel Jo Prestia Philippe Nahon,Gaspar No\u00e9
3542,Comedy Drama,193722,dominatrix bdsm,ja,R100,3.21392,M For Father,R100,5.4,31,Nao Omori Mao Daichi Shinobu Terajima Hairi Katagiri Eriko Sat\u00f4,Hitoshi Matsumoto
3543,Drama,7913,new delhi india students' movement war of independence student celebration,hi,Rang De Basanti,5.206967,A Generation Awakens,Rang De Basanti,7.2,97,Aamir Khan Soha Ali Khan Alice Patten Sharman Joshi Kunal Kapoor,Rakeysh Omprakash Mehra
3545,Comedy Thriller Action Drama,51995,pastor church service spirituality religion,en,Salvation Boulevard,3.653305,Faith alone doesn’t cut it anymore,Salvation Boulevard,5.6,28,Jennifer Connelly Marisa Tomei Pierce Brosnan Ed Harris Greg Kinnear,George Ratliff
3546,Comedy,13173,independent film ventriloquist dummy multiple storylines sabbath brain scan,en,The Ten,3.865122,"If He'd meant the commandments literally, He'd have written them in stone.",The Ten,4.9,57,Paul Rudd Adam Brody Jon Hamm Winona Ryder Ken Marino,David Wain
3548,Thriller Crime,70670,death of lover art thief art gallery police investigation,en,Hodejegerne,20.821846,The hunt is on.,Headhunters,7.1,399,Aksel Hennie Nikolaj Coster-Waldau Synn\u00f8ve Macody Lund Julie R. \u00d8lgaard Eivind Sander,Morten Tyldum
3549,Science Fiction Comedy Thriller Horror,84204,monster ireland drunk beheaded,en,Grabbers,9.451228,"For the locals on Erin Island, it's last orders.",Grabbers,6,140,Richard Coyle Ruth Bradley Russell Tovey Bronagh Gallagher David Pearse,Jon Wright
3550,Comedy Drama,25248,sport independent film,en,Saint Ralph,1.688495,He's hoping for a miracle. He doesn't have a prayer.,Saint Ralph,7.3,24,Adam Butcher Campbell Scott Michael Kanev Gordon Pinsent Tamara Hope,Michael McGowan
3551,Drama,230266,love triangle love irish valet woman director,en,Miss Julie,5.033065,Love is a foolish game,Miss Julie,5.9,45,Jessica Chastain Colin Farrell Samantha Morton Nora McMenamy,Liv Ullmann
3552,Science Fiction Drama Fantasy Romance,16633,time travel playwright 1910s,en,Somewhere in Time,5.934016,Beyond fantasy. Beyond obsession. Beyond time itself... he will find her.,Somewhere in Time,7.2,102,Christopher Reeve Jane Seymour Christopher Plummer Teresa Wright Bill Erwin,Jeannot Szwarc
3553,Drama Action Crime Foreign,63006,goa drug bust rave party,hi,Dum Maaro Dum,0.075817,Goa. Paradise on Earth. But every Paradise has a few snakes.,Dum Maaro Dum,5.4,7,Abhishek Bachchan Bipasha Basu Deepika Padukone Rana Daggubati Prateik Babbar,Rohan Sippy
3554,Horror Thriller,91586,haunted house possession demon family ghost,en,Insidious: Chapter 2,48.375848,It will take what you love most.,Insidious: Chapter 2,6.5,1211,Patrick Wilson Rose Byrne Ty Simpkins Lin Shaye Barbara Hershey,James Wan
3555,Horror,215,riddle serial killer,en,Saw II,42.187986,Oh Yes... There Will Be Blood.,Saw II,6.3,1251,Tobin Bell Shawnee Smith Donnie Wahlberg Franky G Glenn Plummer,Darren Lynn Bousman
3556,Thriller Science Fiction Drama,333371,kidnapping bunker paranoia basement survivalist,en,10 Cloverfield Lane,53.698683,Monsters come in many forms.,10 Cloverfield Lane,6.8,2468,Mary Elizabeth Winstead John Goodman John Gallagher Jr. Bradley Cooper Douglas M. Griffin,Dan Trachtenberg
3557,Documentary Comedy,9012,disgust pain stunts music video stuntman,en,Jackass: The Movie,14.752587,Do not attempt this at home.,Jackass: The Movie,6.1,345,Johnny Knoxville Bam Margera Steve-O Chris Pontius Dave England,Jeff Tremaine
3559,Horror,72571,witch sister sister relationship sequel prequel haunting,en,Paranormal Activity 3,29.15813,It Runs In The Family,Paranormal Activity 3,5.9,669,Katie Featherston Sprague Grayden Lauren Bittner Christopher Nicholas Smith Chloe Csengery,Henry Joost
3560,Horror,242512,death of a friend swimming pool ouija ouija board teenager,en,Ouija,56.30466,Keep telling yourself it's just a game,Ouija,4.9,983,Olivia Cooke Ana Coto Daren Kagasoff Bianca A. Santos Douglas Smith,Stiles White
3561,Horror Thriller,10072,group therapy nightmare hypnosis trapped alcoholic,en,A Nightmare on Elm Street 3: Dream Warriors,17.304055,"If you think you're ready for Freddy, think again!",A Nightmare on Elm Street 3: Dream Warriors,6.5,354,Robert Englund Patricia Arquette Heather Langenkamp John Saxon Craig Wasson,Chuck Russell
3562,Comedy Drama,211954,bachelor vespa,es,No se Aceptan Devoluciones,9.59729,Life doesn't care if you're ready.,Instructions Not Included,7.5,205,Loreto Peralta Eugenio Derbez Jessica Lindsey Daniel Raymont Hugo Stiglitz,Eugenio Derbez
3563,Horror,82990,garage poltergeist webcam imaginary friend bathtub,en,Paranormal Activity 4,20.326337,It's closer than you think,Paranormal Activity 4,5.2,563,Katie Featherston Kathryn Newton Matt Shively Aiden Lovekamp Brady Allen,Henry Joost
3564,Drama,29912,crucifixion ancient rome,en,The Robe,4.028875,The first motion picture in CinemaScope--the modern miracle you see without glasses!,The Robe,6.4,42,Richard Burton Jean Simmons Victor Mature Jay Robinson Richard Boone,Henry Koster
3566,Horror Thriller Comedy,11284,amnesia nightmare alternate dimension psychologist memory loss,en,Freddy's Dead: The Final Nightmare,16.856231,They saved the best for last.,Freddy's Dead: The Final Nightmare,5.1,272,Robert Englund Lisa Zane Shon Greenblatt Lezlie Deane Ricky Dean Logan,Rachel Talalay
3567,Crime Drama,504,female nudity prostitute rape sexual abuse desperation,en,Monster,19.683187,The first female serial killer of America,Monster,7,485,Charlize Theron Christina Ricci Bruce Dern Lee Tergesen Annie Corley,Patty Jenkins
3568,Adventure Drama Science Fiction,173,diving ocean submarine jules verne captain,en,"20,000 Leagues Under the Sea",9.358197,The mightiest motion picture of them all!,"20,000 Leagues Under the Sea",6.8,157,Kirk Douglas James Mason Paul Lukas Peter Lorre Robert J. Wilke,Richard Fleischer
3569,Horror Thriller,227348,supernatural demon found footage,en,Paranormal Activity: The Marked Ones,19.984477,You're one of us now.,Paranormal Activity: The Marked Ones,5.2,449,Andrew Jacobs Richard Cabral Carlos Pratts Eddie J. Fernandez Jorge Diaz,Christopher B. Landon
3570,Drama History,1955,exploitation biography hospital curiosity sideshow,en,The Elephant Man,30.271066,I am not an animal! I am a human being! I... am... a man!,The Elephant Man,7.9,719,Anthony Hopkins John Hurt Anne Bancroft John Gielgud Wendy Hiller,David Lynch
3571,Drama History,152532,women aids biography based on true story hiv,en,Dallas Buyers Club,59.454473,Sometimes it takes a hustler to change the world,Dallas Buyers Club,7.9,2886,Matthew McConaughey Jennifer Garner Jared Leto Denis O'Hare Steve Zahn,Jean-Marc Vall\u00e9e
3572,Thriller Horror,243940,terror experiment afterlife paranormal violence,en,The Lazarus Effect,20.304235,Evil will rise.,The Lazarus Effect,5.1,505,Olivia Wilde Mark Duplass Donald Glover Evan Peters Sarah Bolger,David Gelb
3573,Mystery Thriller,77,individual insulin tattoo waitress amnesia,en,Memento,60.715151,Some memories are best forgotten.,Memento,8.1,4028,Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior Stephen Tobolowsky,Christopher Nolan
3574,Horror,157547,hallucination supernatural mirror skepticism ghost,en,Oculus,35.871248,You see what it wants you to see,Oculus,6.3,1050,Karen Gillan Brenton Thwaites Katee Sackhoff James Lafferty Rory Cochrane,Mike Flanagan
3575,Comedy,2295,independent film aftercreditsstinger duringcreditsstinger,en,Clerks II,18.077963,With No Power Comes No Responsibility,Clerks II,6.9,398,Brian O'Halloran Jeff Anderson Jason Mewes Kevin Smith Rosario Dawson,Kevin Smith
3576,Drama Comedy Music,71,workers' quarter dancing class strike northern england scholarship,en,Billy Elliot,20.428237,Inside every one of us is a special talent waiting to come out. The trick is finding it.,Billy Elliot,7.4,750,Jamie Bell Julie Walters Jean Heywood Jamie Draven Gary Lewis,Stephen Daldry
3577,Comedy Drama,147773,shyness beach bicycle conversation friendship,en,The Way Way Back,32.14444,We've all been there.,The Way Way Back,7.1,688,Liam James Steve Carell Toni Collette AnnaSophia Robb Sam Rockwell,Nat Faxon
3579,Family Drama Action Western Romance,24266,regret river horse ranch australia,en,The Man from Snowy River,3.656491,The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.,The Man from Snowy River,6.8,37,Tom Burlinson Terence Donovan Kirk Douglas Tommy Dysart Bruce Kerr,George T. Miller
3580,Animation Family Comedy,16508,journalism dance daydream friendship pollution,en,Doug's 1st Movie,1.88484,You'll Dig Doug!,Doug's 1st Movie,5.4,22,Thomas McHugh Fred Newman Chris Phillips Constance Shulman,Maurice Joyce
3581,Drama,2895,christianity coma jealousy radio station texas,en,The Apostle,4.227807,The hardest soul to save was his own.,The Apostle,6.1,38,Robert Duvall Billy Bob Thornton June Carter Cash Farrah Fawcett Miranda Richardson,Robert Duvall
3582,Drama,15660,ax biography sociopath lawyer mansion,en,Mommie Dearest,3.102862,The meanest mother of them all,Mommie Dearest,6.5,54,Faye Dunaway Diana Scarwid Steve Forrest Howard Da Silva Mara Hobel,Frank Perry
3583,Comedy Drama,59968,brother sister relationship sister sister relationship family clan idealist duringcreditsstinger,en,Our Idiot Brother,15.688439,Everybody has one,Our Idiot Brother,5.9,365,Paul Rudd Elizabeth Banks Zooey Deschanel Emily Mortimer Adam Scott,Jesse Peretz
3584,Action Drama,323677,olympic games biography sport historical figure nazi germany,en,Race,22.9951,The incredible true story of gold medal champion Jesse Owens,Race,7.1,478,Stephan James Jason Sudeikis Carice van Houten Jeremy Irons Amanda Crew,Stephen Hopkins
3585,Drama,19848,strip club stripper dominatrix cat fight,en,The Players Club,5.769822,"Here, we get down and dirty.",The Players Club,6.4,14,LisaRaye McCoy Dick Anthony Williams Judyann Elder Chrystale Wilson Adele Givens,Ice Cube
3586,Horror Thriller,256274,paris treasure catacombs scientist singing in a car,en,"As Above, So Below",26.510558,The only way out is down.,"As Above, So Below",6.1,766,Perdita Weeks Ben Feldman Edwin Hodge Fran\u00e7ois Civil Marion Lambert,John Erick Dowdle
3587,Drama Thriller,235271,infidelity obsession lie sin interracial relationship,en,Addicted,7.544515,Every Woman Needs an Escape,Addicted,5.4,63,Boris Kodjoe Brandon Gonzales Cameron Mills Emayatzy Corinealdi Garrett Hines,Bille Woodruff
3588,Drama,45153,sister sister relationship menstruation superstition independent film curse,en,Eve's Bayou,1.126941,The secrets that hold us together can also tear us apart.,Eve's Bayou,6.1,27,Jurnee Smollett Meagan Good Lynn Whitfield Samuel L. Jackson Debbi Morgan,Kasi Lemmons
3590,History Drama,24973,egypt,en,The Egyptian,4.079111,"To Nefer, shameless temptress of Babylon, he surrendered his parents' hope of immortality!",The Egyptian,6,11,Jean Simmons Victor Mature Gene Tierney Peter Ustinov Edmund Purdom,Michael Curtiz
3592,Horror Thriller,10283,new york boat mask psychopath high school,en,Friday the 13th Part VIII: Jason Takes Manhattan,12.904615,The Big Apple's in BIG trouble!,Friday the 13th Part VIII: Jason Takes Manhattan,4.8,191,Kane Hodder Jensen Daggett Scott Reeves Barbara Bingham Peter Mark Richman,Rob Hedden
3593,Comedy Drama Romance,8346,usa parents kids relationship greece culture clash midlife crisis,en,My Big Fat Greek Wedding,18.115566,Love is here to stay... so is her family.,My Big Fat Greek Wedding,6.2,671,Nia Vardalos John Corbett Lainie Kazan Michael Constantine Andrea Martin,Joel Zwick
3594,Drama Crime,122081,female nudity sex florida drug dealer nudity,en,Spring Breakers,62.554173,A little sun can bring out your dark side.,Spring Breakers,5,1551,James Franco Selena Gomez Vanessa Hudgens Ashley Benson Rachel Korine,Harmony Korine
3595,Horror Thriller,10987,mass murder nudity halloween attempt to escape cult,en,Halloween: The Curse of Michael Myers,9.483717,Haddonfield is ready to celebrate Halloween.... so is Michael Myers!,Halloween: The Curse of Michael Myers,5,170,Donald Pleasence Paul Rudd Marianne Hagan Mitchell Ryan Kim Darby,Joe Chappelle
3596,Drama Romance,1391,mexico sex beach group sex male friendship,es,Y tu mamá también,16.890285,Life has its ways of teaching. Life has its ways to confuse us. Life has its ways to move us. Life has its ways to amaze. Life has its ways to hurt us. Life has its ways to heal. Life has its ways to inspire.,Y Tu Mamá También,7.3,315,Gael Garc\u00eda Bernal Diego Luna Maribel Verd\u00fa Ana L\u00f3pez Mercado Diana Bracho,Alfonso Cuar\u00f3n
3597,Horror Comedy,747,record collection flower cheese pub surrey,en,Shaun of the Dead,49.12486,A romantic comedy. With zombies.,Shaun of the Dead,7.5,2420,Simon Pegg Nick Frost Kate Ashfield Lucy Davis Dylan Moran,Edgar Wright
